ID;material_ID;quantity;unitPrice;totalAmount;currency_code;supplier_ID;suggestedByAI;orderDate;expectedDeliveryDate;status;priority;aiConfidence;aiReason
aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa;11111111-1111-1111-1111-111111111111;200;25.50;5100.00;USD;1;true;2025-01-20;2025-01-27;PENDING;HIGH;87.5;Stock below reorder level
bbbbbbbb-bbbb-bbbb-bbbb-bbbbbbbbbbbb;22222222-2222-2222-2222-222222222222;300;15.75;4725.00;USD;2;false;2025-01-18;2025-01-23;ORDERED;MEDIUM;;Manual order by procurement team
cccccccc-cccc-cccc-cccc-cccccccccccc;55555555-5555-5555-5555-555555555555;100;8.90;890.00;USD;5;true;2025-01-15;2025-01-29;DELIVERED;URGENT;92.3;Critical stock level detected
dddddddd-dddd-dddd-dddd-dddddddddddd;33333333-3333-3333-3333-333333333333;160;2.25;360.00;USD;3;true;2025-01-22;2025-01-25;APPROVED;MEDIUM;78.9;Predicted depletion in 5 days
eeeeeeee-eeee-eeee-eeee-eeeeeeeeeeee;66666666-6666-6666-6666-666666666666;80;45.00;3600.00;USD;1;true;2025-01-19;2025-01-31;PENDING;HIGH;85.2;Low stock with long lead time
ffffffff-ffff-ffff-ffff-ffffffffffff;77777777-7777-7777-7777-777777777777;240;125.00;30000.00;USD;2;false;2025-01-17;2025-01-25;ORDERED;LOW;;Scheduled replenishment
12121212-1212-1212-1212-121212121212;88888888-8888-8888-8888-888888888888;120;12.50;1500.00;USD;3;true;2025-01-21;2025-01-26;APPROVED;MEDIUM;81.7;Consumption rate increasing
13131313-1313-1313-1313-131313131313;99999999-9999-9999-9999-999999999999;200;18.75;3750.00;USD;4;false;2025-01-16;2025-01-22;DELIVERED;MEDIUM;;Regular stock replenishment
14141414-1414-1414-1414-141414141414;aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa;160;22.00;3520.00;USD;5;true;2025-01-23;2025-02-02;PENDING;HIGH;89.4;Critical for production schedule
15151515-1515-1515-1515-151515151515;bbbbbbbb-bbbb-bbbb-bbbb-bbbbbbbbbbbb;100;85.00;8500.00;USD;1;true;2025-01-20;2025-02-03;ORDERED;URGENT;94.1;Emergency order - stock depleted
16161616-1616-1616-1616-161616161616;cccccccc-cccc-cccc-cccc-cccccccccccc;130;35.50;4615.00;USD;2;false;2025-01-19;2025-01-26;APPROVED;MEDIUM;;Sensor replacement program
17171717-1717-1717-1717-171717171717;dddddddd-dddd-dddd-dddd-dddddddddddd;400;8.25;3300.00;USD;3;true;2025-01-18;2025-01-21;DELIVERED;LOW;76.8;Safety stock replenishment
18181818-1818-1818-1818-181818181818;eeeeeeee-eeee-eeee-eeee-eeeeeeeeeeee;240;15.75;3780.00;USD;4;true;2025-01-22;2025-01-30;PENDING;MEDIUM;83.5;Maintenance schedule requirement
19191919-1919-1919-1919-191919191919;ffffffff-ffff-ffff-ffff-ffffffffffff;130;95.00;12350.00;USD;5;false;2025-01-17;2025-01-28;ORDERED;HIGH;;Equipment upgrade project
20202020-2020-2020-2020-202020202020;10101010-1010-1010-1010-101010101010;90;28.50;2565.00;USD;1;true;2025-01-21;2025-01-30;APPROVED;MEDIUM;88.2;Electrical maintenance stock
